OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
109,Fragaria chiloensis,Coast Strawberry,Rosaceae,,Perennial,Winter,White,< 1 ft,SF Native ,Dunes;Coastal scrub;,Part shade;Sun,All,,Low,Cover;Fruit,Bees;Birds;Butterflies,Yes,Backyard;Roof;Sidewalk,15;24;5,NA,Endures wind well. Attracts Green Hairstreak (Callophrys viridis) butterfly.,©2013 Margo Bors,Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2013 Zoya Akulova (CC BY-NC 3.0),©2014 Vernon Smith (CC BY-NC-ND 3.0),"© Br. Alfred Brousseau, Saint Mary's College"
110,Fragaria vesca,Woodland Strawberry,Rosaceae,,Perennial,Spring;Winter,White,< 1 ft,SF Native ,Woodland;Coastal scrub,Part shade;Shade,Clay;Loam;Sand,,Low,Cover;Fruit,Bees;Birds;Butterflies,Yes,Backyard;Sidewalk,NA,NA,,©2006 Vivian Parker (CC BY-SA 3.0),,©2008 Keir Morse (CC BY-NC-SA 3.0),oxfordian.world (CC BY 2.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
111,Frangula californica,Coffeeberry,Rhamnaceae,Rhamnus californica,Shrub (evergreen),Summer,Burgundy,7-12 ft,SF Native ,Coastal scrub;Woodland,Part shade;Sun,All,,Low,Cover;Buds/greens;Fruit;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,9,NA,Attracts Pale Tiger Swallowtail (Papilio eurymedon) and White-Crowned Sparrow.,©2012 Neal Kramer,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2012 Aaron Arthur,©2012 Jean Pawek,©2012 Jean Pawek
112,Frankenia salina,Alkali-heath,Frankeniaceae,,Perennial,Spring;Summer,Pink,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Fruit,Birds;Butterflies,Yes,Backyard,24,NA,,Charles Webber © California Academy of Sciences,,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",©2008 Margo Bors
113,Fraxinus latifolia,Oregon Ash,Oleaceae,,Tree (deciduous),Spring,Green,> 24 ft,CA Native,Riparian;Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Fruit;Nesting,Birds;Butterflies,Yes,Backyard,NA,NA,Attracts Pale Swallowtail (Papilio eurymedon) and Western Tiger Swallowtail (Papilio rutulus).,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College",©2008 Neal Kramer,©2008 Keir Morse (CC BY-NC-SA 3.0)
114,Fremontodendron 'California Glory',Flannel Bush,Malvaceae,,Shrub (evergreen),Spring,Yellow,4-6 ft,CA Native,Chaparral;Woodland,Part shade;Sun,Clay;Loam;Sand,,None,Cover;Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard,NA,NA,,©2013 Jean Pawek,,©2008 BonTerra Consulting,"© Br. Alfred Brousseau, Saint Mary's College.","© Br. Alfred Brousseau, Saint Mary's College."
115,Gaillardia x grandiflora,Gaillardia (Blanket Flower),Asteraceae,,Perennial,Summer,Orange;Red;Yellow,1-3 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,Nectar,Bees;Birds,No,Backyard,NA,NA,, © The Brroksville Garden Club,,Toni Moore © 2005-2006 Arizona Board of Regents,© The Brroksville Garden Club,Toni Moore © 2005-2006 Arizona Board of Regents
116,Galvezia speciosa,Island Bush Snapdragon,Plantaginaceae,,Perennial,Spring,Red,4-6 ft,CA Native,Chaparral,Part shade;Sun,Clay;Sand,,None,Nectar,Butterflies;Hummingbirds,No,Backyard;Sidewalk,NA,NA,Intermittent bloom throughout the year.,Philip Bouchard (CC BY-NC-ND 2.0),,Alan Harper (CC BY-NC 2.0),Kerry Woods (CC BY-NC-ND 2.0),Erick Lux (CC BY-NC-SA 2.0)
117,Garrya elliptica,Coast Silktassel,Garryaceae,,Shrub (evergreen),Winter,White,13-24 ft,SF Native ,Coastal scrub;Woodland,Shade;Sun,All,,Low,Fruit;Cover,Bees;Birds,Yes,Sidewalk,NA,2 (B),"Beautiful plant that gets large, is wind pollinated, and could be trained into a single stem tree.","SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.",Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;,"SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014."
118,Geijera parviflora,Australian Willow,Rutaceae,,Tree (evergreen),Spring,White,> 24 ft,Exotic,,Sun,Loam;Sand,,Moderate,,,Yes,Sidewalk,NA,2 (B),"Prefers heat, wind protection.","SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014."
119,Gilia capitata ssp. Chamissonis,Dune Gilia,Polemoniaceae,,Annual,Spring;Summer,Blue,1-3 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Sun,Clay;Loam;Sand,,None,Nectar,Bees;Butterflies,No,Backyard,NA,NA,,©2009 Jorg Fleige (CC BY-NC 3.0),,©2006 Andrea Jesse,©2003 Doreen L. Smith,©2011 Eric Wrubel/NPS
120,Gilia tricolor ssp. Tricolor,Bird's Eye Gilia,Polemoniaceae,,Annual,Summer,Purple,< 1 ft,CA Native,Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam,,Low,Nectar,Bees;Birds;Butterflies;Hummingbirds,No,Backyard,NA,NA,,©2003 Michael Charters,,©2003 George Jackson,©2010 Neal Kramer,©2010 Neal Kramer
121,Ginkgo biloba 'Autumn Gold',Maidenhair Tree,Ginkgoaceae,,Tree (deciduous),Spring,,> 24 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,,,Yes,Sidewalk,NA,1 (A),"Slow grower. 'Princeton Sentry', 'Saratoga' another variety.","SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014."
122,Glaux maritima,Sea milkwort,Myrsinaceae,,Perennial,Spring,White,1-3 ft,SF Native ,Wetland,Sun,Clay;Loam;Sand,,Moderate,No data,No data,No,Backyard,NA,NA,,©2013 Vernon Smith (CC BY-NC-ND 3.0),,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,©2009 Phil Pullen,©2007 Steve Matson
123,Gleditsia triacanthos 'Shademaster',Shademaster Locust,Fabaceae,,Tree (deciduous),Spring,,> 24 ft,Exotic,,Sun,Loam,,Low,,Bird;Butterflies,Yes,Sidewalk,NA,2 (B),Prefers heat.,"SelecTree. ""Gleditsia triacanthos var. inermis 'Shademaster' Photo Record."" 1995-2012. Jul 7, 2014",,"SelecTree. ""Gleditsia triacanthos var. inermis 'Shademaster' Photo Record."" 1995-2012. Jul 7, 2014","SelecTree. ""Gleditsia triacanthos Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Gleditsia triacanthos Photo Record."" 1995-2012. Jul 7, 2014."
124,Grindelia hirsutula,San Francisco Gumplant,Asteraceae,,Perennial,Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Woodland,Part shade;Sun,Clay;Rock,,Low,Nectar,Bees;Birds;Butterflies,Yes,Backyard;Roof;Sidewalk,NA,NA,"CNPS Rare Plant. Tough plant, easy to grow, self seeding. Attracts Common Buckeye (Junonia coenia) butterfly.","© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College",Robert Potts © California Academy of Sciences,©2004 Doreen L. Smith
125,Grindelia stricta,Coastal Gumplant,Asteraceae,,Perennial,Fall;Spring;Summer,Yellow,< 1 ft,SF Native ,Dunes;Wetland,Part shade;Sun,Clay;Loam;Sand,,Low,Nectar;Nesting,Bees;Birds;Butterflies,No,Backyard;Roof,NA,NA,,©2010 Vernon Smith (CC BY-NC-ND 3.0),,"© Br. Alfred Brousseau, Saint Mary's College",Eric Hunt (CC BY-NC-ND 2.0),Philip Bouchard (CC BY-NC-ND 2.0)
126,Helianthus gracilentus,Slender Sunflower,Asteraceae,,Perennial,Spring;Summer,Yellow,4-6 ft,CA Native,Chaparral,Sun,Clay;Loam,,Low,Nectar,Bees;Birds;Butterflies,No,Backyard,NA,NA,Attracts Red-Winged Blackbird and Monarch Butterfly (Danaus plexippus).,©2013 Keir Morse (CC BY-NC-SA 3.0),,©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2010 Zoya Akulova (CC BY-NC 3.0)
127,Heliotropium curassavicum,Wild Heliotrope,Boraginaceae,,Perennial,Spring,White,< 1 ft,SF Native ,Wetland,Part shade;Sun,Loam;Sand,,Low,Nectar,Bees,No,Backyard,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",©2004 Keir Morse  (CC BY-NC-SA 3.0)
128,Heracleum maximum,Cow Parsnip,Apiaceae,Heracleum lanatum,Perennial,Summer,White,7-12 ft,SF Native ,"Woodland;Coastal scrub;Wetland, Riparian",Part Shade,Loam;Sand,Cut to ground,Low,No data,Bees;Birds,No,Backyard,6,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",© 2000 Gary A. Monroe (CC BY-NC 3.0)
129,Heteromeles arbutifolia,Toyon,Rosaceae,,Shrub (evergreen),Summer,White,7-12 ft,SF Native ,Chaparral;Coastal scrub;Woodland,Part shade;Sun,All,Minimal,Low,Cover;Buds/greens;Fruit;Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard,23;4,NA,"White flowers in summer, red berries in winter. Attracts Cedar Waxwing, Robins, and Purple Finches.","Laura Camp ""campsjc"" (CC BY-SA 2.0)",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,"James Gaither ""jim-sf"" (CC BY-NC-ND 2.0)","Belinda Lo ""western goblin"" (CC BY-NC-SA 2.0)",Roy Randall (CC BY-NC-ND 2.0)
130,Heterotheca sessiliflora ssp. Bolanderi,Bolander's Goldenaster,Asteraceae,,Perennial,Year Round,Yellow,1-3 ft,CA Native ,Grassland/prairie,Sun,Clay;Rock,,None,Fruit;Nectar,Bees;Birds;Butterflies,No,Backyard,NA,NA,,©2001 Doreen L. Smith,,©2007 Neal Kramer,©2012 Aaron Arthur,©2007 Neal Kramer
131,Heuchera micrantha,Alum Root,Saxifragaceae,,Perennial,Spring;Summer,White,1-3 ft,SF Native ,Woodland;Coastal scrub,Part shade;Shade,Clay;Loam,,Moderate,Nectar,Bees;Butterflies;Hummingbirds,Yes,Backyard;Sidewalk,NA,NA,Prefers north facing cliff faces and cracks in the rock.,© 2010 Barry Breckling  (CC BY-NC-SA 3.0),Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",© 2009 Keir Morse (CC BY-NC-SA 3.0)
132,Holodiscus discolor,Cream Bush,Rosaceae,,Shrub (deciduous),Spring;Summer,White,7-12 ft,SF Native ,Woodland;Coastal scrub,Shade;Sun;Part shade,Clay;Loam,,Low,Buds/greens;Cover;Nectar,Bees;Birds;Butterflies,Yes,Backyard,NA,NA,"Attracts Spring Azure, Pale Swallowtail, and Lorquin’s Admiral butterflies.",©2007 Matt Below,Oaktown;Native Here;Flora Grubb;Bay Natives;East Bay Wilds;,©2003 Steve Matson,"© Br. Alfred Brousseau, Saint Mary's College",©2003 Michael Charters
133,Hordeum brachyantherum,Meadow Barley,Poaceae,,Perennial,Summer,Yellow,1-3 ft,SF Native ,Grassland/prairie;Riparian;Wetland;Woodland;Coastal scrub,Part shade;Sun,Clay;Loam,,Low,Buds/greens;Cover;Fruit,Birds;Insects,Yes,Backyard,NA,NA,,©2005 Aaron Schusteff,Oaktown;Native Here;Candlestick;Bay Natives;East Bay Wilds;,©2005 Steve Matson,©2010 Keir Morse (CC BY-NC-SA 3.0),©2004 Steve Matson
134,Horkelia californica,California Horkelia,Rosaceae,,Perennial,Spring,White,1-3 ft,SF Native,Coastal scrub;Grassland/prairie,Shade;Sun;Part shade,Clay;Rock,,None,Nectar,Butterflies,No,Backyard;Sidewalk,NA,NA,,©2009 Vernon Smith (CC BY-NC-ND 3.0),,©2009 Vernon Smith (CC BY-NC-ND 3.0),©2013 Jean Pawek,"© Br. Alfred Brousseau, Saint Mary's College"
135,Hosackia gracilis,Harlequin Lotus,Fabaceae,Lotus formosissimus,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Riparian;Wetland;Woodland,Part shade;Sun,Clay,,Moderate,Nectar,Bees;Butterflies,Yes,Backyard,NA,NA,,©2012 Neal Kramer,,©2012 Robert Sikora,©2013 Aaron Arthur,©2013 Aaron Arthur
136,Hymenosporum flavum,Sweetshade,Pittosporaceae,,Tree (evergreen),Summer,Yellow,> 24 ft,Exotic,,Part shade;Sun,,,NA,,,No,Sidewalk,NA,2 (B),"Uneven performer, prefers heat, wind protection, good drainage.","SelecTree. ""Hymenosporum flavum Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Hymenosporum flavum Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Hymenosporum flavum Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Hymenosporum flavum Photo Record."" 1995-2012. Jul 7, 2014."
137,Iris douglasiana,Douglas Iris,Iridaceae,,Perennial,Spring;Winter,Purple,1-3 ft,SF Native ,Grassland/prairie;Woodland;Coastal scrub,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens;Nectar,Bees;Birds;Hummingbirds;Insects,Yes,Backyard;Roof;Sidewalk,NA,NA,"Likes wind and fog, include longipella (likes warmer, calmer, drier).","© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College",©1994 Gary A. Monroe (CC BY-NC 3.0),©1994 Gary A. Monroe (CC BY-NC 3.0)
138,Isolepis cernua,Low Bulrush,Cyperaceae,Scirpus cernuus,Annual,Spring;Summer,White,1-3 ft,SF Native,Wetland,Part shade;Sun,Clay;Loam,,Moderate,No data,No data,No,Backyard,NA,NA,,©2012 Vernon Smith (CC BY-NC-ND 3.0),,©2002 Dean Wm. Taylor (CC BY-NC-SA 3.0),© linghe (CC BY-NC 3.0),Toni Corelli (CC BY-NC 2.0)
139,Iva axillaris,Poverty-weed,Asteraceae,,Perennial,Spring;Summer,Yellow,< 1 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam,,Moderate,No data,No data,No,Backyard,NA,NA,Desert plant.,©2012 Jean Pawek,,©2012 Jean Pawek,Matt Lavin (CC BY-SA 2.0),Matt Lavin (CC BY-SA 2.0)
140,Jacaranda mimosifolia,Jacaranda,Bignoniaceae,,Tree (evergreen),Spring;Summer,"Blue,Lavender",> 24 ft,Exotic,,Sun,,,NA,,,No,Sidewalk,NA,2 (B),"Uneven performer, prefers heat, wind protection, good drainage.","SelecTree. ""Jacaranda mimosifolia Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Jacaranda mimosifolia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Jacaranda mimosifolia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Jacaranda mimosifolia Photo Record."" 1995-2012. Jul 7, 2014."
141,Juncus balticus,Salt Rush,Juncaceae,,Perennial,Spring,Yellow,1-3 ft,SF Native ,Woodland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Cover,Birds;Butterflies,No,Backyard;Roof,NA,NA,"Creeping rush, runner not buncher.",©2005 Brent Miller (CC BY-NC-SA 3.0),,©2008 Keir Morse (CC BY-NC-SA 3.0),©2005 Brent Miller (CC BY-NC-SA 3.0),Matt Lavin (CC BY-SA 2.0)
142,Juncus bufonius,Toad Rush,Juncaceae,,Annual,Spring,Green,< 1 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Cover;Fruit,Birds,No,Backyard,NA,NA,Seedheads.,©2012 Jean Pawek,,©2012 Jean Pawek,©2011 Jorg & Mimi Fleige (CC BY-NC 3.0),©2008 Zoya Akulova (CC BY-NC 3.0)
143,Juncus xiphioides,Iris-leaved Rush,Juncaceae,,Perennial,Spring;Summer,Burgundy,1-3 ft,SF Native ,Riparian;Wetland;Woodland,Part shade;Sun,Clay;Loam,,Moderate,No data,Butterflies,Yes,Backyard;Roof,NA,NA,spreads well by runners.,©2009 Keir Morse (CC BY-NC-SA 3.0),,©2009 Keir Morse (CC BY-NC-SA 3.0),©2002 Bart and Susan Eisenberg (CC BY 3.0),©2010 Zoya Akulova (CC BY-NC 3.0)
144,Koeleria macrantha,June Grass,Poaceae,,Grass,Spring,Green,1-3 ft,SF Native ,Chaparral;Coastal scrub;Woodland;Grassland/prairie,Part shade;Sun,All,,Low,Fruit,Birds,Yes,Backyard,NA,NA,Great bunchgrass.,©2008 Keir Morse (CC BY-NC-SA 3.0),Oaktown;Native Here;Flora Grubb;Bay Natives;East Bay Wilds;,©2008 Keir Morse (CC BY-NC-SA 3.0) ,©2010 Zoya Akulova (CC BY-NC 3.0),©2011 RT Hawke (CC BY-NC 3.0)
145,Koelreuteria paniculata,Goldenrain Tree,Sapindaceae,,Tree (deciduous),Summer,Yellow,> 24 ft,Exotic,,Sun,,,NA,,,No,Sidewalk,NA,2 (B),"Uneven performer, prefers heat, wind protection.","SelecTree. ""Koelreuteria paniculata Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Koelreuteria paniculata Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Koelreuteria paniculata Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Koelreuteria paniculata Photo Record."" 1995-2012. Jul 7, 2014."
146,Lagunaria patersonii,Primrose Tree,Malvaceae,,Tree (evergreen),Spring;Summer,Pink,> 24 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,,,Yes,Sidewalk,NA,1 (A),Does well in windy areas.,"SelecTree. ""Lagunaria patersonia Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Lagunaria patersonia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Lagunaria patersonia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Lagunaria patersonia Photo Record."" 1995-2012. Jul 7, 2014."
147,Lasthenia californica,California Goldfields,Asteraceae,,Annual,Spring;Winter,Yellow,< 1 ft,SF Native ,Coastal scrub;Grassland/prairie,Sun,All,,Low,Fruit;Nectar,Bees;Birds,No,Backyard;Roof,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
148,Lasthenia glaberrima,Smooth Goldfields,Asteraceae,,Annual,Spring,Yellow,1-3 ft,CA Native,Coastal scrub;Wetland;Woodland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Nectar,Bees;Butterflies,No,Backyard,NA,NA,,"D In Orbit ""OrbitalD"" (CC BY-NC-ND 2.0)",,"D In Orbit ""OrbitalD"" (CC BY-NC-ND 2.0)",John Game (CC BY-NC-SA 2.0),©1994 Dean Wm. Taylor (CC BY-NC-SA 3.0)
149,Lasthenia glabrata,Yellow-rayed Goldfields,Asteraceae,,Annual,Spring;Winter,Yellow,1-3 ft,CA Native,Wetland;Woodland,Part shade;Sun,All,,Moderate,Nectar,Bees;Butterflies,No,Backyard,NA,NA,Attracts Checkerspot butterfly (endangered).,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College",©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0)
150,Laurus nobilis 'Saratoga',Sweet Bay,Lauraceae,,Tree (evergreen),Spring,Yellow,13-24 ft,Exotic,,Part shade;Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Uneven performer, prefers heat, wind protection, gets pests.","SelecTree. ""Laurus nobilis Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Laurus nobilis Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Laurus nobilis Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Laurus nobilis Photo Record."" 1995-2012. Jul 7, 2014."
151,Lavandula sp.,Lavender,Lamiaceae,,Shrub (evergreen),Year Round,Purple,1-3 ft,Exotic,,Sun,Clay;Loam,,Low,Nectar;Cover,Bees;Birds;Butterflies;Hummingbirds,Yes,Backyard;Sidewalk,NA,NA,"Relatively short-lived, it will become leggy if not pruned after flowering.",©2006 Luigi Rignanese (CC BY-NC 3.0),Flora Grubb;East Bay Wilds;,Maja Dumat (CC BY-NC-SA 2.0),Maja Dumat (CC BY 2.0),Maja Dumat (CC BY 2.0)
152,Leptospermum laevigatum,Australian Tea Tree,Myrtaceae,,Tree (evergreen),Spring,White,13-24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Poor rooter, may need long-term or permanent staking.","SelecTree. ""Leptospermum laevigatum Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Leptospermum laevigatum Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Leptospermum laevigatum Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Leptospermum laevigatum Photo Record."" 1995-2012. Jul 7, 2014."
153,Leptosyne calliopsidea,Leafy-stemmed Coreopsis,Asteraceae,Coreopsis calliopsidea,Annual,Spring;Winter,Yellow,1-3 ft,CA Native ,Woodland,Part shade;Sun,Clay;Loam,,Low,Nectar,Bees,No,Backyard,NA,NA,,©2011 Jean Pawek,,©2011 Jean Pawek,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
154,Limonium californicum,Sea Lavender,Plumbaginaceae,,Perennial,Summer,Purple,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Buds/greens;Nectar,Bees;Butterflies;Insects,Yes,Backyard;Sidewalk,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
155,Liquidambar styraciflua,American Sweetgum,Hamamelidaceae,,Tree (deciduous),Spring,Yellow,> 24 ft,Exotic,,Part shade;Sun,Clay;Loam;Sand,,Moderate,,,Yes,Sidewalk,NA,2 (B),Needs a very large basin for canopy and roots,"SelecTree. ""Liquidambar styraciflua Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Liquidambar styraciflua Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Liquidambar styraciflua Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Liquidambar styraciflua Photo Record."" 1995-2012. Jul 7, 2014."
156,Liriodendron tulipifera,Tulip Tree,Magnoliaceae,,Tree (deciduous),Spring,Yellow,> 24 ft,Exotic,,Sun,,,NA,,,Yes,Sidewalk,NA,2 (B),Uneven performer.,"SelecTree. ""Liriodendron tulipifera Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Liriodendron tulipifera Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Liriodendron tulipifera Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Liriodendron tulipifera Photo Record."" 1995-2012. Jul 7, 2014."
157,Lomatium californicum,California Celery,Apiaceae,,Perennial,Spring,Yellow,1-3 ft,CA Native,Chaparral; Woodland,Part shade;Shade,Clay;Loam,,Low,Buds/greens,Butterflies,No,Backyard,NA,NA,Dry grower. Attracts Anise Swallowtail (Papilio Zelicaon) butterfly.,©2009 Vernon Smith (CC BY-NC-ND 3.0),,"© Br. Alfred Brousseau, Saint Mary's College",©2006 Keir Morse (CC BY-NC-SA 3.0),©2006 Keir Morse (CC BY-NC-SA 3.0)
158,Lonicera involucrata,Twinberry Honeysuckle,Caprifoliaceae,,Shrub (deciduous),Summer,Yellow,7-12 ft,SF Native,Coastal scrub;Riparian;Wetland;Woodland,Part shade;Sun,Loam; Clay,,Low,Fruit;Nectar;Cover,Bees;Birds;Butterflies;Hummingbirds,No,Backyard,11;4,NA,"Not wind tolerant, but grows in many habitats. Attracts Cedar Waxwing and  Red Admiral.",John Rusk (CC BY-NC-SA 2.0),,N. Stuart (CC BY-NC-ND 2.0),sfbaywalk (CC BY 2.0),avid A. Hofmann (CC BY-NC-ND 2.0)
159,Lophostemon confertus,Brisbane Box,Myrtaceae,Tristania conferta,Tree (evergreen),Spring;Summer,White,> 24 ft,Exotic,,Sun,,,NA,,,No,Sidewalk,NA,1 (A),,"SelecTree. ""Lophostemon confertus Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Lophostemon confertus Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Lophostemon confertus Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Lophostemon confertus Photo Record."" 1995-2012. Jul 7, 2014."
160,Lupinus albifrons,Silver Lupine,Fabaceae,,Perennial,Spring;Summer,Purple,4-6 ft,CA Native,Chaparral;Coastal scrub;Woodland,Sun,All,,None,Buds/greens;Nectar,Bees;Birds;Butterflies;Hummingbirds,Yes,Backyard;Sidewalk,NA,NA,Host to the endangered Mission Blue Butterfly.,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
161,Lupinus arboreus,Yellow Bush Lupine,Fabaceae,,Shrub (evergreen),Spring,Yellow,4-6 ft,SF Native,Coastal scrub;Grassland/prairie;Dunes,Part shade;Sun,All,,None,Nectar,Bees;Butterflies;Hummingbirds,No,Backyard,NA,NA,"Only plant in western sandy areas.  Grows fast, then dies out fast.  Lupines should be planted as plants – unpredictable germination.","© Br. Alfred Brousseau, Saint Mary's College",,Jon Sullivan (CC BY-NC 2.0),helen.2006 (CC BY-NC-SA 2.0),James Gaither (CC BY-NC-ND 2.0)
